hotel_name,location,landmark,ratings,info,price,tag,accessibility,occupancy_details,description
Park Inn by Radisson Goa Candolim,Candolim,| 7 minutes walk to Candolim Beach,3.8,"['Gym', 'Swimming Pool']","₹6,192 per night",null,null,null,CoupleFriendlyBreakfastIncluded
Elements by Rosetta,South Goa,| 1.7 km drive to Varca Beach,4.9,"['Gym', 'Swimming Pool']","₹13,494 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedAvailINR3500hotelvoucherredeemableonstayof3daysormore20%offonsessionofSpa
Hotel Jyoti Plaza,Margao,null,4.1,"['Bar', 'Jacuzzi']","₹2,092 per night",null,null,null,Breakfastavailableatextracharges
Novotel Goa Resort and Spa Candolim,Candolim,| 4 minutes walk to Candolim Beach,4.1,"['Spa', 'Gym']","₹11,124 per night",null,null,null,"CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0availableComeswith2outdoorpools,Jacuzzi&TurkishHammam"
Resorte Marinha Dourada,Arpora,| 2.2 km drive to Baga Beach,3.9,"['Swimming Pool', 'Beds in a Hostel']","₹7,090 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available
Panjim City Dorms,Panjim,| 8 minutes walk to Deltin Royale,3.8,"['| 2 Dorm Beds', 'Lounge']",₹872 per night,null,Beds in a Hostel,| 2 Dorm Beds,"Idyllichostelfeaturingalounge,diningarea&freeWi-Fi"
Island House,Tiswadi,null,4.3,"['Caretaker', '| 1 Bedroom | Sleeps 2 guests']","₹4,932 per night",Like a 4 Star,Room in a Homestay,| 1 Bedroom | Sleeps 2 guests,"CoupleFriendlyBreakfastIncludedHomestayfeaturingapool,restaurant&freeparking"
"Fortune Resort Benaulim, Goa",Benaulim,| 4-5 minutes walk from Benaulim Beach,4.1,"['Swimming Pool', 'Caretaker']","₹17,640 per night",null,null,null,CoupleFriendlyBreakfastIncluded15%DiscountOnF&BServices
Alekhya Suites,Panjim,| 1.1 km drive to Miramar Beach,3.5,"['Gym', 'Swimming Pool']","₹3,325 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Resort Lagoa Azul,Arpora,| 2.8 km drive to Baga Beach,4,"['Spa', 'Swimming Pool']","₹4,128 per night",null,null,null,CoupleFriendlyBreakfastIncluded
Downtown Anjuna - The Party Hostel,Anjuna,| 1.6 km drive to Anjuna Beach,4.4,"['Gym', 'Swimming Pool']","₹2,099 per night",null,Beds in a Hostel,| 2 Dorm Beds,CoupleFriendly
I Love Bell Bottoms Vagator Goa,Vagator,| 1.3 km drive to Vagator Beach,4.2,"['Beds in a Hostel', '| 2 Dorm Beds']","₹6,123 per night",null,null,null,"CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0availableEnjoyHappyHourswith2+1offeronAlcoholicDrinks,SoftBeverages"
Grand Vatika Resort,Arambol,| 2.7 km drive to Mandrem Beach,4.4,"['Swimming Pool', 'Kitchenette']","₹3,274 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
Whoopers Hostel Palolem | Room & Dorms,Palolem,| 2 minutes walk to Palolem Beach,3.9,"['Swimming Pool', 'Gym']","₹1,292 per night",null,Beds in a Hostel,| 2 Dorm Beds,"CoupleFriendlyFunhostelfeaturingacafe,powerbackup,kitchen&Wi-Fi"
Fortune Select Candolim-Member ITC's Hotel Group,Candolim,| 1.2 km drive to Candolim Beach,4.8,"['Gym', 'Swimming Pool']","₹8,549 per night",null,null,null,CoupleFriendlyBreakfastIncluded
goSTOPS Goa Baga,Baga,| 1.7 km drive to Baga Beach,4.1,"['Beds in a Hostel', '| 2 Dorm Beds']","₹1,671 per night",Like a 3 Star,Beds in a Hostel,| 2 Dorm Beds,"Vibranthostelofferingapool,playarea&lounge"
Hotel Gautam (A Vegetarian Hotel),Povorim,null,5,"['Caretaker', 'Restaurant']","₹3,612 per night",null,null,null,FreeCancellationBook@₹0available
All Seasons Guest House | Rooms & Dorms,Margao,null,4.4,"['Spa', 'Swimming Pool']","₹2,145 per night",null,Room in a Hostel,| 1 Bedroom | Sleeps 5 guests,CoupleFriendlyBreakfastavailableatextracharges
Rosetum Anjuna,Anjuna,| 8 minutes walk to Anjuna Beach,3.9,"['Beds in a Hostel', '| 2 Dorm Beds']","₹2,989 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastavailableatextracharges
The Lalit Golf & Spa Resort,Palolem,| 6 minutes walk to Rajbag Beach,3.9,"['Swimming Pool', 'Living Room']","₹19,304 per night",null,null,null,CoupleFriendlyBreakfastIncludedsessionofSpa
The Park Calangute,Calangute,| 2-3 minutes walk from Calangute Beach,4,"['Indoor Games', '| 1 Bedroom | Sleeps 5 guests']","₹13,660 per night",null,null,null,CoupleFriendlyBreakfastIncluded
Yu hotel,Candolim,| 8 minutes walk to Candolim Beach,4.3,"['Caretaker', 'Luggage Storage']","₹8,703 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextrachargesAvail20%discountonfood&beverages
"Hilton Goa Resort,Candolim",Candolim,Ends  in  18h:  03m:  41s,4.6,"['Gym', 'Swimming Pool']","₹13,088 per night",null,null,null,CoupleFriendlyBreakfastIncludedGet1freebeerbucketonceduringthestayatthein-houseeatery@Saipe
Passions de Goa,Anjuna,null,3.8,"['Gym', 'Private Beach']","₹2,325 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
The Tanisi,Candolim,| 3-4 minutes walk from Anjuna Beach,3.8,"['Gym', 'Swimming Pool']","₹8,146 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0availableGuaranteed20%DiscountonHi-Tea/Buffet/Drinks/Brunch/Bakery/Cake
La Vaiencia beach resort,Morjim,| 5 minutes walk to Candolim Beach,3.7,"['Spa', 'Gym']","₹3,408 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
BloomSuites | Calangute,Calangute,| 3 minutes walk to Morjim Beach,4.1,"['Swimming Pool', 'Swimming Pool']","₹6,900 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
Ivy Retreat Apartments,Baga,| 4-5 minutes walk from Calangute Beach,4,"['Jacuzzi', 'Swimming Pool']","₹2,843 per night",null,Entire Apartment,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly
DoubleTree by Hilton Hotel Goa-Arpora- Baga,Arpora,| 4-5 minutes walk from Calangute Beach,4.1,"['Gym', 'Swimming Pool']","₹9,342 per night",null,null,null,CoupleFriendlyBreakfastIncludedBooknow&get20%offatFlamerestaurant
Novotel Goa Candolim,Candolim,null,4.2,"['Swimming Pool', 'Gym']","₹12,449 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available
"The Hosteller Goa, Old Goa",Panjim,| 4 minutes walk to Candolim Beach,4.7,"['Entire Apartment', '| 1 Bedroom | Sleeps 4 guests']","₹1,484 per night",null,Beds in a Hostel,| 2 Dorm Beds,CoupleFriendly
"Stone Wood Resort, Mandrem",North Goa,| 2.2 km drive to Basilica Of Bom Jesus,4.6,"['Housekeeping', 'Caretaker']","₹6,092 per night",null,null,null,CoupleFriendlyBreakfastIncluded20%offonsessionofSpa
Baga Beach Hotel,Baga,| 8 minutes walk to Ashwem Beach,3.5,"['Gym', 'Jacuzzi']","₹1,411 per night",null,null,null,CoupleFriendly
XOXO Hostel,Anjuna,| 5 minutes walk to Baga Beach,3.9,"['Spa', 'Beds in a Hostel']","₹1,454 per night",null,Beds in a Hostel,| 2 Dorm Beds,CoupleFriendly
Lillywoods Zac Beach Resort,Calangute,| 2.7 km drive to Anjuna Beach,3.1,"['| 2 Dorm Beds', 'Swimming Pool']","₹4,888 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Beleza By The Beach,Colva Beach,| About a minute walk to Calangute Beach,4.6,"['Indoor Games', 'Swimming Pool']","₹10,359 per night",null,null,null,CoupleFriendlyBreakfastIncluded
Bedrock Boutique Hostel,Baga,| About a minute walk to Colva Beach,3.7,"['Restaurant', 'Spa']","₹1,131 per night",null,Beds in a Hostel,| 2 Dorm Beds,
"Taj Cidade de Goa Horizon, Goa",Panjim,| 4-5 minutes walk from Calangute Beach,4.8,"['Kids Play Area', 'Beds in a Hostel']","₹26,250 per night",null,null,null,BreakfastIncludedGetaTajGiftCardworthatleastINR500forF&B&Spa
SinQ Beach Resort,Calangute,| 4-5 minutes walk from Miramar Beach,4,"['| 2 Dorm Beds', 'Swimming Pool']","₹2,925 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastavailableatextracharges
Reina's Elegance,Candolim,| 6 minutes walk to Calangute Beach,3.2,"['Caretaker', 'Restaurant']","₹1,929 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 3 guests,
Hotel Campal,Panjim,| 8 minutes walk to Candolim Beach,3.9,"['Bar', 'Gym']","₹2,688 per night",null,null,null,"CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges10%offonInRoomFoodServicesfromSoulCurryRestaurant,Panjim"
"Ginger Goa, Madgaon",Margao,| 1.6 km drive to Deltin Royale,4.2,"['Swimming Pool', 'Beds in a Hostel']","₹3,824 per night",null,null,null,FreeCancellationBook@₹0availableBreakfastavailableatextracharges
SinQ The Party Hotel (No Stags Allowed),Candolim,null,4.2,"['| 2 Dorm Beds', 'Living Room']","₹3,268 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastavailableatextrachargesBookPartyCottageandPoolViewRoomGetFreeEntryinSinQNightClubonceduringthestayperperson
Zostel Goa (Morjim),Morjim,| 10 minutes walk to Sinquerium Beach,3.9,"['Barbeque', 'Spa']","₹2,785 per night",Like a 3 Star,Beds in a Hostel,| 2 Dorm Beds,"Hostelwithapool,gamesroom,restaurant&sharedlounge"
"Ginger Goa, Panjim",Panjim,| 4-5 minutes walk from Morjim Beach,4.1,"['Swimming Pool', 'Swimming Pool']","₹7,244 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
Hotel Celi,Calangute,| 1.8 km drive to Deltin Royale,4.2,"['Jacuzzi', 'Room in an Apartment']","₹2,194 per night",null,null,null,CoupleFriendlyFreeCancellation
Moustache Goa Luxuria | Private Rooms & Dorms,Vagator,| 3 minutes walk to Calangute Beach,3.9,"['| 1 Bedroom | Sleeps 3 guests', 'Housekeeping']","₹2,419 per night",null,Beds in a Hostel,| 2 Dorm Beds,
Lillywoods Highland Beach Resort,Candolim,| 2.5 km drive to Vagator Beach,3,"['Free Public Parking', 'Restaurant']","₹4,687 per night",null,null,null,"CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges10%DiscountOnAirportTransfer,SubjecttoAvailability"
GT GOVEIA SUITES,Candolim,| 9 minutes walk to Candolim Beach,3.3,"['24-hour Room Service', 'Restaurant']","₹2,087 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges20%DiscountonF&Bservices
BOB Beach House,Calangute,| 1.2 km drive to Candolim Beach,4,"['Swimming Pool', 'Restaurant']","₹1,367 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 3 guests,
goSTOPS PLUS Goa Vagator,Vagator,| 5 minutes walk to Calangute Beach,4,"['Beds in a Hostel', '| 2 Dorm Beds']","₹1,785 per night",Like a 3 Star,Beds in a Hostel,| 2 Dorm Beds,Rooms&dormsinahostelfeaturingapool&cafe
DOWN D VILLAGE.,Candolim,null,2.7,"['Swimming Pool', 'Living Room']","₹1,216 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 6 guests,
Amoravida by 7 Apple Resort (Near Mopa Airport),North Goa,| 5 minutes walk to Candolim Beach,4,"['Gym', 'Kids Play Area']","₹5,704 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available
Shelsta Holiday Resort,Calangute Baga Road,null,3.7,"['null', 'Beds in a Hostel']","₹3,445 per night",null,null,null,CoupleFriendly
Shrikrishna Studio Goa | Rooms & Pool,Calangute,| 7 minutes walk to Calangute Beach,4.5,"['| 2 Dorm Beds', 'Swimming Pool']","₹2,375 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 6 guests,"CoupleFriendlyBreakfastavailableatextrachargesApartmentfeaturingapool,garden&in-houserestaurant"
Metropolis Business Hotel,Panjim,null,3.8,"['Pool/ Beach towels', 'Swimming Pool']","₹3,818 per night",null,null,null,"FreeCancellationBook@₹0available10%DiscountOnAirportTransfer,SubjecttoAvailability"
"The Golden Suites & Spa,Calangute",Calangute,| 9 minutes walk to Deltin Royale,3.6,"['Kids Play Area', 'Gym']","₹3,731 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
"Porto By Lagom,Vagator",Vagator,| 1.6 km drive to Calangute Beach,3.9,"['Swimming Pool', 'Room in an Apartment']","₹4,262 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
Jungle by sturmfrei Palolem,Palolem,| 1.5 km drive to Vagator Beach,4.1,"['| 1 Bedroom | Sleeps 3 guests', 'Swimming Pool']","₹1,960 per night",null,Beds in a Hostel,| 2 Dorm Beds,"CoupleFriendlyDormitoryfeaturingalounge,terrace&ArabianSeaviews"
The Center Court Resort and Spa,Varca,| About a minute walk to Palolem Beach,4.1,"['Reception', '| 2 Dorm Beds']","₹3,649 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Brendons Goa,Palolem,| 1.7 km drive to Varca Beach,4.5,"['Swimming Pool', 'Bonfire']","₹4,014 per night",Like a 3 Star,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,"CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextrachargesBeachfrontpropertyfeaturingarestaurant,lawn&seaviews"
Mariaariose - Melody of the Sea,Bogmalo,| About a minute walk to Palolem Beach,3.1,"['Room in an Apartment', '| 1 Bedroom | Sleeps 6 guests']","₹2,800 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0available
Bloomrooms @ Calangute,Calangute,| 1.5 km drive to Bogmalo Beach,3.9,"['Reception', 'Housekeeping']","₹5,650 per night",null,null,null,CoupleFriendlyBreakfastavailableatextrachargesWelcomeDrinkonarrival
"The Hosteller Bam Goa, Saligao",Bardez,| 4-5 minutes walk from Candolim Beach,5,"['Kids Play Area', 'Swimming Pool']","₹3,802 per night",Like a 4 Star,Room in a Hostel,| 1 Bedroom | Sleeps 2 guests,CoupleFriendly
Antara Goa,Calangute Baga Road,null,3.9,"['Restaurant', '| 1 Bedroom | Sleeps 6 guests']","₹3,808 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
"DeAmour: A Dreamy Getaway, Near Beach",Anjuna,| 7 minutes walk to Calangute Beach,3.8,"['Shared Swimming Pool', 'Reception']","₹3,506 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
Riviera Hermitage,Arpora,| 1.1 km drive to Anjuna Beach,4.3,"['24-hour Room Service', 'Butler Services']","₹5,875 per night",null,Entire Apartment,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly
Calangute Grande,Calangute Baga Road,null,3.7,"['Swimming Pool', 'Kids Play Area']","₹3,709 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
The Tubki Resort,Palolem,| 6 minutes walk to Calangute Beach,4.4,"['Swimming Pool', 'Restaurant']","₹2,603 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastavailableatextracharges
Shivam Bnb,North Goa,| 2.4 km drive to Palolem Beach,4.1,"['Beds in a Hostel', '| 2 Dorm Beds']",₹647 per night,null,Room in a Homestay,| 1 Bedroom | Sleeps 2 guests,"Poolvillafeaturingsunbeds,sprawlinglawn&caretaker"
Anjuna Beach Resort,Anjuna,null,3.6,"['Bonfire', 'Caretaker']","₹2,683 per night",null,null,null,CoupleFriendly
Carnival De Goa - Luxury Apartment near Candolim,Candolim,| 6 minutes walk to Anjuna Beach,4.3,"['Spa', 'Swimming Pool']","₹4,082 per night",Like a 3 Star,Entire Apartment,| 1 Bedroom | Sleeps 4 guests,"BreakfastIncludedApartmentwithapool,kitchen,livingroom,gym&parking"
Sera's Beach Side Hotel,Calangute,null,3.8,"['Room in a Cottage', '| 1 Bedroom | Sleeps 4 guests']","₹1,432 per night",null,null,null,CoupleFriendlyFreeCancellation
The Hosteller Goa Candolim,Candolim,| 1-2 minutes walk from Calangute Beach,4.4,"['Housekeeping', 'Wi-Fi']","₹2,274 per night",Like a 3 Star,Beds in a Hostel,| 2 Dorm Beds,"CoupleFriendlyVibranthostelfeaturingapool,indoorgames,lounge&Wi-Fi"
IORA BAGA BEACH,Baga,| 10 minutes walk to Candolim Beach,3.7,"['Swimming Pool', 'Restaurant']","₹3,603 per night",null,null,null,"CoupleFriendly10%DiscountOnRoomUpgrade,SubjecttoAvailability"
Pappi Chulo Hostel - Vagator,Vagator,| About a minute walk to Baga Beach,3.9,"['Swimming Pool', 'Restaurant']","₹2,152 per night",null,Beds in a Hostel,| 2 Dorm Beds,CoupleFriendly
Avontade Suites | Entire Pool Villas,Anjuna,| 3-4 minutes walk from Vagator Beach,4.4,"['| 1 Bedroom | Sleeps 2 guests', 'Swimming Pool']","₹7,892 per night",Like a 3 Star,Entire Villa,| 2 Bedrooms | Sleeps 8 guests,FreeCancellationBook@₹0available
Red Thread Morjim,Morjim,null,4.7,"['Caretaker', 'Restaurant']","₹13,746 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
Casa Severina,Calangute,| 2 minutes walk to Morjim Beach,4.7,"['Bar', 'Swimming Pool']","₹4,102 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
Craft Hostel,Anjuna,| 3-4 minutes walk from Calangute Beach,4.5,"['Water Sports', '| 1 Bedroom | Sleeps 4 guests']","₹1,798 per night",Like a 3 Star,Beds in a Hostel,| 2 Dorm Beds,CoupleFriendly
Cygnett Inn Celestiial,Calangute,| 2 minutes walk to Anjuna Beach,3.3,"['Housekeeping', 'Caretaker']","₹3,603 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Tranquility Cottage Resort,Baga,| 9 minutes walk to Candolim Beach,4,"['Swimming Pool', 'Restaurant']","₹3,183 per night",null,null,null,CoupleFriendlyBreakfastIncluded
"Taj Fort Aguada Resort & Spa, Goa",Candolim,| 10 minutes walk to Baga Beach,4.6,"['Gym', 'Kids Play Area']","₹38,088 per night",null,null,null,CoupleFriendlyBreakfastIncludedGetaTajGiftCardworthatleastINR500forF&B&Spa
SinQ Beach Morjim.,Morjim,| 1-2 minutes walk from Sinquerium Beach,3.9,"['| 1 Bedroom | Sleeps 2 guests', 'Swimming Pool']","₹6,503 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBeachfrontretreatwithsea-viewroomsandpool
Hard Rock Hotel Goa Calangute,Calangute,| About a minute walk to Morjim Beach,4.1,"['Kitchenette', 'Swimming Pool']","₹8,724 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available
ibis Styles Goa Calangute - An Accor Brand,Calangute,| 1.3 km drive to Calangute Beach,4.1,"['Water Sports', '| 1 Bedroom | Sleeps 4 guests']","₹6,399 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available
Whoopers Party Hostel Palolem,South Goa,| 10 minutes walk to Calangute Beach,4.4,"['Swimming Pool', 'Reception']","₹5,297 per night",null,Room in a Hostel,| 1 Bedroom | Sleeps 3 guests,"CoupleFriendlyHostelamidstgreenerywithacafe,bar,indoorgames&parking"
"The Fern Habitat, Candolim, Goa",Candolim,| 2.4 km drive to Palolem Beach,4.4,"['Spa', 'Indoor Games']","₹7,090 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0availableEnjoy2pintsofbeerperonceduringthestay&2+1offerduringhappyhoursfrom11:00AMto7:00PM
Zense Candolim,Candolim,| 10 minutes walk to Candolim Beach,3.8,"['Beds in a Hostel', '| 2 Dorm Beds']","₹3,743 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
Blue Lagoon Resort | Room & Restaurant,Cola Beach,| 7 minutes walk to Candolim Beach,3.8,"['Swimming Pool', 'Indoor Games']","₹3,377 per night",Like a 3 Star,Room in a Beach Hut,| 1 Bedroom | Sleeps 4 guests,FreeCancellation
Longuinhos Beach Resort,Colva,null,3.7,"['Water Sports', 'Restaurant']","₹7,841 per night",null,null,null,CoupleFriendlyBreakfastIncluded
Kings Villa Garden View Cottages,Palolem,| 2 minutes walk to Colva Beach,3.7,"['Beds in a Hostel', '| 2 Dorm Beds']","₹3,453 per night",Like a 3 Star,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyBreakfastIncludedVillafeaturingalivingroom&alawn
SinQ Prive,Candolim,| 6 minutes walk to Palolem Beach,3.8,"['Lounge', 'Barbeque']","₹4,911 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Casa Comforts,Vagator,| 3-4 minutes walk from Sinquerium Beach,3.3,"['| 2 Bedrooms | Sleeps 8 guests', 'Swimming Pool']","₹7,323 per night",null,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyBreakfastIncluded
BunkNBrew,Palolem,| 4-5 minutes walk from Vagator Beach,4.4,"['Caretaker', 'Swimming Pool']",₹905 per night,null,Beds in a Hostel,| 2 Dorm Beds,"Hostelfeaturingakitchen,cafe,beachaccess&parking"
Sinon Baga Retreat - A Beach Resort,Baga,| 3-4 minutes walk from Palolem Beach,3.5,"['Kids Play Area', 'Gym']","₹7,686 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0available
Sun Park Baga,Baga,| About a minute walk to Baga Beach,3.4,"['Swimming Pool', 'Beds in a Hostel']","₹1,701 per night",null,Entire Apartment,| 1 Bedroom | Sleeps 5 guests,CoupleFriendly
Hilltop Seaview Palolem Beach,Palolem,| 890 m drive to Calangute Beach,3.9,"['| 2 Dorm Beds', 'Kitchenette']","₹4,125 per night",Like a 3 Star,Room in a Cottage,| 1 Bedroom | Sleeps 4 guests,"CoupleFriendlyBeachfrontcottagewithalawn,on-siterestaurant&bonfire"
The Acacia Morjim,Morjim,| 6 minutes walk to Palolem Beach,4.1,"['Living Room', 'Swimming Pool']","₹7,210 per night",null,null,null,CoupleFriendlyBreakfastIncluded10%OffonF&Bservices
Aldeia Santa Rita,Candolim,| 6 minutes walk to Morjim Beach,4.1,"['Restaurant', 'Swimming Pool']","₹6,934 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Amritara Aura Resort & Spa,North Goa,| 4-5 minutes walk from Sinquerium Beach,4.3,"['Restaurant', 'Spa']","₹6,645 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0availableComplimentaryHi-Tea
"The Fern Residency Miramar, Goa",Panjim,| 1.3 km drive to Mandrem Beach,3.7,"['Swimming Pool', 'Jacuzzi']","₹4,766 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available
Bells Beach Resort (A unit of Resort De Balneaire),Calangute,| 1.4 km drive to Miramar Beach,3.8,"['Indoor Games', 'Gym']","₹3,278 per night",null,null,null,CoupleFriendlyBreakfastavailableatextrachargesModesthotelfeaturingaplungepool&well-appointedrooms
Spectrum Hub Candolim,Candolim,| 4-5 minutes walk from Calangute Beach,4.5,"['Swimming Pool', 'Swimming Pool']","₹2,347 per night",null,Entire Apartment,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly
Hotel Colva Kinara,Colva,| 5 minutes walk to Candolim Beach,3.8,"['Gym', 'Room in a Hostel']","₹3,617 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
Woodside Retreat,Baga,| 7 minutes walk to Colva Beach,4.1,"['| 1 Bedroom | Sleeps 3 guests', 'Caretaker']","₹4,213 per night",null,Entire Apartment,| 2 Bedrooms | Sleeps 6 guests,CoupleFriendly
Radisson Resort Goa Baga,Baga,| 1.7 km drive to Baga Beach,4.1,"['Restaurant', 'Swimming Pool']","₹9,314 per night",null,null,null,"CoupleFriendlyBreakfastIncludedEnjoy15%offonF&B,SpaandLaundry"
Mitra Hostel by the Pool,Anjuna,| 1.8 km drive to Baga Beach,4.2,"['Gym', 'Swimming Pool']","₹1,297 per night",null,Beds in a Hostel,| 2 Dorm Beds,
Grand Hyatt Goa,Bambolim Beach,| 8 minutes walk to Anjuna Beach,4.2,"['Indoor Games', '| 1 Bedroom | Sleeps 4 guests']","₹29,480 per night",null,null,null,BreakfastIncluded
Grandeur Stay,Panjim,| 5 minutes walk to Bambolim Beach,5,"['Caretaker', 'Restaurant']","₹2,767 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 3 guests,FreeCancellationBook@₹0availableBreakfastavailableatextracharges
The Grand Leoney Resort,Vagator,| 7 minutes walk to Miramar Beach,4.3,"['Swimming Pool', 'Jacuzzi']","₹5,712 per night",null,null,null,CoupleFriendly
Arize You Home,Bardez,| 8 minutes walk to Vagator Beach,4.5,"['Room in a Cottage', '| 1 Bedroom | Sleeps 4 guests']","₹2,207 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 3 guests,CoupleFriendly
Casa Almeida Guest House,Candolim,null,3.9,"['Shared Swimming Pool', 'Pool/ Beach towels']","₹1,830 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0available
"Le Meridien Goa, Calangute",Calangute,| 3 minutes walk to Candolim Beach,4.3,"['Swimming Pool', 'Gym']","₹11,213 per night",null,null,null,"CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available10%offatLatestRecipe,thein-houseall-daydiningrestaurant"
Casa De Goa Boutique Resort,Calangute Baga Road,| 4-5 minutes walk from Calangute Beach,4.1,"['Room in a Cottage', '| 1 Bedroom | Sleeps 4 guests']","₹7,030 per night",null,null,null,CoupleFriendlyBreakfastIncluded
Bloom Hotel - Calangute,Calangute Baga Road,| 5 minutes walk to Calangute Beach,3.9,"['Caretaker', 'Housekeeping']","₹5,000 per night",null,null,null,"CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextrachargesNearthebeach&McDonalds,largepool&bikerentals"
"Reemz, Beach Heaven, Anjuna",Anjuna,| 8 minutes walk to Calangute Beach,3.8,"['Beds in a Hostel', '| 2 Dorm Beds']","₹10,925 per night",Like a 3 Star,Room in an Apartment,| 1 Bedroom | Sleeps 2 guests,"CoupleFriendlyBreakfastIncludedApartmentfeaturinganin-houserestaurant,pool&lawn"
The Park Baga River Goa (Adults only Property),Baga,| 9 minutes walk to Anjuna Beach,4,"['Kitchenette', 'Pool/ Beach towels']","₹6,859 per night",null,null,null,CoupleFriendlyBreakfastIncluded
Mandala Hostel near Palolem Beach,Palolem,| 2.2 km drive to Baga Beach,4,"['Private Beach', 'Swimming Pool']","₹1,297 per night",null,Beds in a Hostel,| 2 Dorm Beds,FreeCancellationBook@₹0available
Crystal Goa Onyx,Palolem,| About a minute walk to Palolem Beach,4.1,"['Entire Apartment', '| 1 Bedroom | Sleeps 5 guests']","₹3,861 per night",null,Room in an Apartment,| 1 Bedroom | Sleeps 3 guests,"CoupleFriendlyChicstayentailingalawn,sit-outs&Palolembeachview"
Pride Sun Village Resort & Spa,Baga,| 3 minutes walk to Palolem Beach,3.5,"['Reception', 'Housekeeping']","₹4,548 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges10%DiscountOnF&BServices
1BHK Apartment with Private Balcony - Fortune Belleza,Candolim,| 2.3 km drive to Baga Beach,4.4,"['Room in a Cottage', '| 1 Bedroom | Sleeps 4 guests']","₹3,644 per night",Like a 3 Star,Entire Apartment,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyFeaturesprivatebalconieswithsit-outs
