hotel_name,location,landmark,ratings,info,price,tag,accessibility,occupancy_details,description
Rohit holiday Homes,Arpora,| 9 minutes walk to Anjuna Beach,4.3,"['| Sleeps 5 guests', 'Private Swimming Pool']","₹2,097 per night",null,null,null,CoupleFriendly15%DiscountOnAirportTransfer
Skon Baga Bliss Hotel by Orion Hotels,Calangute,| 9 minutes walk to Calangute Beach,4.3,"['Housekeeping', 'Room in a Cottage']","₹4,214 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextrachargesAmodernhotelwithswimmingpoolanddiningfacilities
BONDS HOSTEL CANDOLIM,Candolim,| 1.1 km drive to Calangute Beach,1,"['| 1 Bedroom | Sleeps 4 guests', 'Housekeeping']","₹1,547 per night",null,Rooms in a Hostel,| 2 Bedrooms | Sleeps 2 guests,CoupleFriendlyBreakfastIncluded
Aralea Beach Resort by Stone Wood,Morjim,| 4 minutes walk to Morjim Beach,4.3,"['Free Wi-Fi', '| 3 Bedrooms | Sleeps 12 guests']","₹6,320 per night",null,null,null,CoupleFriendlyBreakfastIncludedPropertyamidstlushgreeneryboastingapool&in-housedining
Beach Walk Resort Goa,Morjim,null,4.3,"['Private Swimming Pool', 'Private Kitchen']","₹2,141 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
Grand Continent Anjuna A Sarovar Portico Affiliate Hotel,Anjuna,| 4 minutes walk to Baga Beach,4.3,"['Entire Villa', '| 7 Bedrooms | Sleeps 28 guests']","₹10,799 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges10%offonsessionofSpa
The Avenue Grand,Calangute,| 4-5 minutes walk from Vagator Beach,4.2,"['Private Swimming Pool', 'Caretaker']","₹5,822 per night",null,null,null,CoupleFriendlyBreakfastIncluded
Amrita Appartments and Villas,Calangute,null,3.8,"['Entire Apartment', '| 2 Bedrooms | Sleeps 8 guests']","₹15,683 per night",null,Entire Apartment,| 1 Bedroom | Sleeps 4 guests,FreeCancellationBook@₹0available
Xenious Cashew Leaf Eco Resort - Near Arambol Beach,Arambol,| About a minute walk to Morjim Beach,4.2,"['Housekeeping', 'Caretaker']","₹2,977 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges15%OffonBuffet/alacarte
Hotel ARAMBOL ARBOUR,Arambol Beach,null,4.2,"['| 2 Bedrooms | Sleeps 8 guests', 'Reception']","₹2,926 per night",null,null,null,CoupleFriendly
Hitide Beach Resort,Palolem,| 10 minutes walk to Baga Beach,4.2,"['Pool/ Beach towels', 'Restaurant']","₹4,673 per night",null,null,null,CoupleFriendlyBreakfastIncluded
Oceans 7 Ashwem,Ashwem Beach,| 5 minutes walk to Candolim Beach,4.2,"['Fireplace', 'Entire Apartment']","₹3,043 per night",null,null,null,CoupleFriendlyBreakfastIncluded
Alaya stays 1 BHK With Balcony | Veera Marina,Candolim,| 2.7 km drive to Mandrem Beach,null,"['| 2 Bedrooms | Sleeps 8 guests', 'Housekeeping']","₹3,971 per night",null,Entire Apartment,| 1 Bedroom | Sleeps 4 guests,CoupleFriendly
Hotel Spring Height,Porvorim,| 2.3 km drive to Calangute Beach,2.4,"['Caretaker', 'Entire Apartment']","₹3,086 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableBreakfastavailableatextracharges
God's Gift Hotel Near Morjim-Ashvem Beach,Morjim,null,3.4,"['| 2 Bedrooms | Sleeps 8 guests', 'Power Backup']","₹3,673 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0available
Peaches | Entire 1 BHK Apartments,Siolim,| 2.1 km drive to Majorda Beach,1.3,"['Wi-Fi', 'Entire Apartment']","₹12,610 per night",null,Entire Apartment,| 1 Bedroom | Sleeps 4 guests,FreeCancellationBook@₹0available
Hotel O Sai Deep Place,Baga,| 5 minutes walk to Anjuna Beach,3.7,"['| 2 Bedrooms | Sleeps 8 guests', 'Parking']","₹4,263 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0available
Anjuna Blue,Anjuna,| 1.6 km drive to Calangute Beach,4.1,"['Wi-Fi', '| 2 Bedrooms | Sleeps 8 guests']","₹2,893 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0available
Super Hotel O Pradeep Guest House Near Baga Beach,Baga,| 5 minutes walk to Candolim Beach,4.1,"['Shared Swimming Pool', 'Caretaker']","₹4,067 per night",null,null,null,CoupleFriendlyFreeCancellationBook@₹0availableDistributedbyOYO
"Whiteflower Resort Morjim, Goa",Morjim,null,4.1,"['Entire Apartment', '| 2 Bedrooms | Sleeps 4 guests']","₹6,182 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastavailableatextracharges
The 2nd Milagres,Palolem,null,null,"['Caretaker', 'Housekeeping']","₹5,434 per night",Like a 3 Star,Entire Apartment,| 1 Bedroom | Sleeps 4 guests,CoupleFriendlyFreeCancellationBook@₹0available
Rurys Nest at Palolem Beach,Canacona,null,1,"['Entire Apartment', '| 3 Bedrooms | Sleeps 12 guests']","₹2,500 per night",null,Entire Apartment,| 1 Bedroom | Sleeps 4 guests,FreeCancellationBook@₹0available
Shantaram Beach Huts,Arambol Beach,| About a minute walk to Morjim Beach,4,"['Shared Swimming Pool', 'Housekeeping']","₹6,591 per night",null,null,null,FreeCancellationBook@₹0available
Hotel Solmar,Panjim,| 3 minutes walk to Morjim Beach,4,"['Entire Villa', '| 3 Bedrooms | Sleeps 12 guests']","₹3,666 per night",null,null,null,CoupleFriendlyFreeCancellationBreakfastIncludedBook@₹0available
Sea Sapphire,Calangute,| 590 m drive to Calangute Beach,4,"['Shared Swimming Pool', 'Private Kitchen']","₹3,752 per night",null,null,null,CoupleFriendlyBreakfastavailableatextracharges
Harbor Court,Vagator,| 4 minutes walk to Calangute Beach,4,"['null', 'Entire Apartment']","₹6,531 per night",null,null,null,CoupleFriendly
